Journal,DisciplinesString

journal of turbulence,"inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;astronomia;nauki fizyczne"
journal of ultrasonography,inżynieria biomedyczna;nauki medyczne
journal of ultrasound,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki medyczne"
journal of ultrasound in medicine,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria"
journal of unconventional oil and gas resources,"inżynieria środowiska, górnictwo i energetyka;nauki chemiczne"
journal of universal computer science,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
journal of university teaching and learning practice,pedagogika
journal of unmanned vehicle systems,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria mechaniczna"
journal of unschooling and alternative learning,pedagogika
journal of urban affairs,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne"
journal of urban and regional analysis,architektura i urbanistyka;inżynieria lądowa i transport;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne
journal of urban culture research,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;nauki o zarządzaniu i jakości;nauki socjologiczne
journal of urban design,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki socjologiczne"
journal of urban economics,nauki o kulturze i religii;architektura i urbanistyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
journal of urban ethnology,historia;nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne
journal of urban health bulletin of the new york academy of medicine,architektura i urbanistyka;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
journal of urban history,archeologia;historia;nauki o kulturze i religii;architektura i urbanistyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne
journal of urban management,architektura i urbanistyka;inżynieria lądowa i transport;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
journal of urban planning and development,"nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
journal of urban technology,nauki o kulturze i religii;architektura i urbanistyka;inżynieria lądowa i transport;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
journal of urological surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of urology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
journal of usability studies,informatyka techniczna i telekomunikacja
journal of vacation marketing,geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
journal of vacuum science & technology a,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki chemiczne;nauki fizyczne"
journal of vacuum science & technology b,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;astronomia;nauki chemiczne;nauki fizyczne"
journal of value inquiry,filozofia;nauki o zarządzaniu i jakości;nauki prawne;nauki socjologiczne
journal of vascular access,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of vascular and interventional radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of vascular nursing,nauki o zdrowiu
journal of vascular research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne;nauki chemiczne
journal of vascular surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
journal of vascular surgery cases and innovative techniques,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of vascular surgery venous and lymphatic disorders,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of vector borne diseases,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
journal of vector ecology,"inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne"
journal of vegetation science,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
journal of venomous animals and toxins including tropical diseases,nauki farmaceutyczne;nauki medyczne;weterynaria;nauki biologiczne;nauki chemiczne
journal of vertebrate paleontology,nauki biologiczne;nauki o ziemi i środowisku
journal of vestibular research equilibrium & orientation,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
journal of veterinary behavior clinical applications and research,weterynaria;zootechnika i rybactwo
journal of veterinary cardiology,inżynieria biomedyczna;nauki farmaceutyczne;weterynaria;zootechnika i rybactwo
journal of veterinary dentistry,weterynaria;zootechnika i rybactwo
journal of veterinary diagnostic investigation,weterynaria;zootechnika i rybactwo
journal of veterinary emergency and critical care,weterynaria;zootechnika i rybactwo
journal of veterinary internal medicine,weterynaria;zootechnika i rybactwo
journal of veterinary medical education,inżynieria biomedyczna;nauki farmaceutyczne;weterynaria;zootechnika i rybactwo
journal of veterinary medical science,weterynaria;zootechnika i rybactwo
journal of veterinary pharmacology and therapeutics,nauki farmaceutyczne;weterynaria;zootechnika i rybactwo
journal of veterinary science,weterynaria;zootechnika i rybactwo
journal of vibration and acoustics transactions of the asme,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki fizyczne"
journal of vibration and control,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne;nauki fizyczne"
journal of vibration engineering & technologies,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki fizyczne"
journal of vibroengineering,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
journal of victorian culture,historia;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
journal of vinyl & additive technology,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne"
journal of viral hepatitis,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
journal of virological methods,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne
journal of virology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne;nauki chemiczne
journal of virus eradication,nauki medyczne;nauki o zdrowiu;nauki biologiczne
journal of visceral surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;weterynaria
journal of vision,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
journal of visual art and design,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka
journal of visual communication and image representation,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka"
journal of visual communication in medicine,nauki o kulturze i religii;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of visual culture,nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;nauki o komunikacji społecznej i mediach;nauki socjologiczne
journal of visual impairment & blindness,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;pedagogika
journal of visual languages and computing,językoznawstwo;architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
journal of visualization,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
journal of vocational behavior,nauki o kulturze i religii;nauki o zdrowiu;nauki o zarządzaniu i jakości;nauki socjologiczne;pedagogika;psychologia
journal of vocational education and training,nauki o zarządzaniu i jakości;pedagogika
journal of vocational rehabilitation,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
journal of voice,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu"
journal of volcanology and geothermal research,"inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
journal of volcanology and seismology,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki fizyczne;nauki o ziemi i środowisku"
journal of war & culture studies,historia;nauki o kulturze i religii;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
journal of water and climate change,"architektura i urbanistyka;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o zarządzaniu i jakości;nauki o ziemi i środowisku"
journal of water and health,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki chemiczne"
journal of water chemistry and technology,"inżynieria biomedyczna;inżynieria chemiczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki chemiczne"
journal of water management modeling,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
journal of water process engineering,"architektura i urbanistyka;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki chemiczne"
journal of water resources planning and management,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
journal of water reuse and desalination,"architektura i urbanistyka;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki chemiczne"
journal of water sanitation and hygiene for development,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki chemiczne"
journal of water supply research and technology aqua,"architektura i urbanistyka;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
journal of waterway port coastal and ocean engineering,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
journal of web engineering,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
journal of web librarianship,informatyka techniczna i telekomunikacja;nauki o komunikacji społecznej i mediach
journal of web semantics,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki socjologiczne;informatyka
journal of wildlife diseases,"inżynieria środowiska, górnictwo i energetyka;nauki leśne;weterynaria;nauki biologiczne"
journal of wildlife management,architektura i urbanistyka;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
journal of wind engineering and industrial aerodynamics,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
journal of wine economics,ekonomia i finanse;nauki o zarządzaniu i jakości
journal of women & aging,nauki o kulturze i religii;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki socjologiczne;nauki biologiczne
journal of women politics & policy,historia;nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne
journal of womens health,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
journal of womens history,historia;nauki o kulturze i religii;nauki socjologiczne
journal of wood chemistry and technology,"inżynieria chemiczna;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki leśne;nauki chemiczne"
journal of wood science,inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki leśne
journal of work and organizational psychology revista de psicologia del trabajo y de las organizaciones,nauki o zarządzaniu i jakości;psychologia
journal of workplace behavioral health,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki o zarządzaniu i jakości;pedagogika;psychologia
journal of workplace learning,architektura i urbanistyka;nauki o zarządzaniu i jakości;pedagogika;psychologia
journal of world business,ekonomia i finanse;nauki o zarządzaniu i jakości
journal of world christianity,nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
journal of world energy law & business,"inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości;nauki prawne"
journal of world history,historia
journal of world intellectual property,nauki prawne
journal of world investment & trade,nauki prawne
journal of world popular music,nauki o kulturze i religii;nauki o sztuce;nauki o komunikacji społecznej i mediach
journal of world prehistory,archeologia;historia;architektura i urbanistyka
journal of world trade,ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości;nauki prawne
journal of world systems research,nauki socjologiczne
journal of wound care,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
journal of wound ostomy and continence nursing,nauki o zdrowiu
journal of wrist surgery,inżynieria biomedyczna;nauki medyczne
journal of writing research,językoznawstwo;pedagogika
journal of wuhan university of technology materials science edition,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne
journal of xenobiotics,nauki farmaceutyczne;nauki medyczne;rolnictwo i ogrodnictwo;weterynaria;nauki biologiczne
journal of x ray science and technology,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;astronomia;nauki fizyczne"
journal of young pharmacists,nauki farmaceutyczne
